Invoice:
_____________________________
   Meal     Price
1. Plain_Egg      $1.45
2. Bacon_and_Egg      $2.45
3. French_Toast      $1.99
4.       $0.00
5.       $70377737529357577600279851433547828631819639065580036302510690973430515087014259136003902538954088591105099746787145216655910011844507401737572630151062564377107751863022581918252355601689246951815028034650819768038723099138063070305662092444427021496975899683712925696.00
6.       $nan
7.       $73361365052192585324011070164754929302683384983829130503870026420483934209001173957371204891086721102443975646799449904442358682433505388725793668224505330115198523781017804243607103964111656097538948820151622645005626535647881223123187345133038062294351317781379547136.00
8.       $0.00

Total: $nan
